,ss,place,x,y,xlim,ylim
1,1,Ramkrishna Ray & Co,254.8767451,581.4089977,1920,937
2,1,Kuikota Water Tank,452.467491,638.848168,1920,937
3,1,Maa Lakshmi Variety,406.5161548,233.4917374,1920,937
4,1,Ranu Tea Stall,475.4431592,192.4637586,1920,937
5,1,Kuikota Market,746.5560431,230.2094991,1920,937
6,1,Hazra Medical Store,866.0295174,249.9029289,1920,937
7,1,Khana Asiana,856.8392501,399.2447718,1920,937
8,1,Alapon Shop,859.1368169,476.3773719,1920,937
9,1,Bijan Clinic,1013.073793,606.0257849,1920,937
10,1,Modak's Havelyy,891.3027523,609.3080232,1920,937
11,1,Apu Pan Stall,650.0582369,799.6778449,1920,937
12,1,Bangla Dishari,900.4930195,799.6778449,1920,937
13,2,Goldi Chicken,107.8324691,729.1097214,1920,937
14,2,Yava Apartment,96.34463502,629.0014531,1920,937
15,2,Cyber World,195.140008,281.0841928,1920,937
16,2,Apu Pan Stall,369.7550858,187.5404012,1920,937
17,2,Bangla Dishari,610.9996011,189.1815203,1920,937
18,2,NFC Brand & WISH World,1587.465497,504.2763975,1920,937
19,2,Ramdhanu Asian Paints,636.2728361,766.8554618,1920,937
20,2,Sonali Hindu Hotel,624.785002,451.7605846,1920,937
21,3,Treasure Music,96.34463502,366.0635079,1920,937
22,3,J.M.Bhandar,758.0438771,883.0160408,1920,937
23,3,Goldi Chicken,1215.259673,663.1060744,1920,937
24,3,Cyber World,1302.567212,213.4394267,1920,937
25,3,Apu Pan Stall,1477.18229,114.9722776,1920,937
26,4,Kuikota Market,45.79816514,774.0610576,1920,937
27,4,Hazra Medical Store,165.2716394,793.7544874,1920,937
28,4,Prince Medical Shop,142.2959713,506.5586358,1920,937
29,4,GD Electric Works,169.866773,321.1121716,1920,937
30,4,Kuikota Yuba Sangha,567.3458317,352.2934355,1920,937
31,4,Habu Auto Service,705.1998404,255.4674056,1920,937
32,5,Maa Lakshmi Variety,1304.864779,886.65716,1920,937
33,5,Ranu Tea Stall,1371.494216,843.988062,1920,937
34,5,Dey Enterprise,1360.006382,656.9004787,1920,937
35,5,Joyashree Enterprise,1339.328281,417.2970825,1920,937
36,5,Ganapati Electronics,1435.826087,267.9552396,1920,937
37,5,Kuikota Market,1635.7144,881.7338025,1920,937
38,6,J.M.Bhandar,801.6976466,194.1048778,1920,937
39,6,Hello Trust,702.9022736,546.9454955,1920,937
40,6,M/s. Ghosh Hardware,1419.743119,761.9321044,1920,937
41,6,Khan Interior,1348.518548,515.7642316,1920,937
42,6,Shakti Tea Stall,1408.255285,514.1231124,1920,937
43,6,Bishal Momo Dokan,1530.026326,489.5063251,1920,937
44,7,Ramdhanu Asian Paints,236.4962106,626.3603339,1920,937
45,7,Sonali Hindu Hotel,225.0083765,311.2654567,1920,937
46,7,NFC Brand & WISH World,1183.093738,367.0635079,1920,937
47,7,DJ Rahul Variety Shop,962.5273235,869.2459684,1920,937
48,8,Bishal Momo Dokan,135.4032708,180.1170437,1920,937
49,8,Yuger Pratik Club,190.5448744,664.2471936,1920,937
50,8,Dhanonjoy Mandal Sabji Shop,289.3402473,825.0768705,1920,937
51,8,Nilkanth Mahadev Mandir,475.4431592,839.8469428,1920,937
52,8,Santra Mashala Bhandar,473.1455923,744.662032,1920,937
53,8,De House,1362.303949,157.1413756,1920,937
54,9,Lakshminarayan Bhandar,15.92979657,428.7849165,1920,937
55,9,Dhanonjoy Mandal Sabji Shop,470.8480255,212.1571884,1920,937
56,9,Santra Mashala Bhandar,650.0582369,139.9479458,1920,937
57,9,Nilkanth Mahadev Mandir,656.9509374,226.9272608,1920,937
58,9,Sweets Garden,668.4387714,369.704627,1920,937
59,9,Ashirbad Xerox and Papers,762.6390108,497.7119209,1920,937
60,9,Basuri Engineering Works,673.0339051,505.9175167,1920,937
61,9,Maa Bhabatarini Automobiles,836.1611488,459.9661804,1920,937
62,9,Vivekananda Skill Developments,1709.236538,651.9771212,1920,937
