name1,name2,name3,name4,name5,name6,name7,name8,name9
Ramkrishna Ray & Co,Goldi Chicken,Treasure Music,Kuikota Market,Maa Lakshmi Variety,J.M.Bhandar,Ramdhanu Asian Paints,Bishal Momo Dokan,Lakshminarayan Bhandar
Kuikota Water Tank,Yava Apartment,J.M.Bhandar,Hazra Medical Store,Ranu Tea Stall,Hello Trust,Sonali Hindu Hotel,Yuger Pratik Club,Dhanonjoy Mandal Sabji Shop
Maa Lakshmi Variety,Cyber World,Goldi Chicken,Prince Medical Shop,Dey Enterprise,M/s. Ghosh Hardware,NFC Brand & WISH World,Dhanonjoy Mandal Sabji Shop,Santra Mashala Bhandar
Ranu Tea Stall,Apu Pan Stall,Cyber World,GD Electric Works,Joyashree Enterprise,Khan Interior,DJ Rahul Variety Shop,Nilkanth Mahadev Mandir,Nilkanth Mahadev Mandir
Kuikota Market,Bangla Dishari,Apu Pan Stall,Kuikota Yuba Sangha,Ganapati Electronics,Shakti Tea Stall,NA,Santra Mashala Bhandar,Sweets Garden
Hazra Medical Store,NFC Brand & WISH World,NA,Habu Auto Service,Kuikota Market,Bishal Momo Dokan,NA,De House,Ashirbad Xerox and Papers
Khana Asiana,Ramdhanu Asian Paints,NA,NA,NA,NA,NA,NA,Basuri Engineering Works
Alapon Shop,Sonali Hindu Hotel,NA,NA,NA,NA,NA,NA,Maa Bhabatarini Automobiles
Bijan Clinic,NA,NA,NA,NA,NA,NA,NA,Vivekananda Skill Developments
Modak's Havelyy,NA,NA,NA,NA,NA,NA,NA,NA
Apu Pan Stall,NA,NA,NA,NA,NA,NA,NA,NA
Bangla Dishari,NA,NA,NA,NA,NA,NA,NA,NA
